X,Predicted,Real
Nesmanjena i nenarušena celovitost ili ukupnost.,0,1
koji oseća ili ispoljava veliko uzbuđenje ili zainteresovanost,0,1
okarakterisan prijateljstvom i dobrom voljom,0,1
koji čini ili donosi dobro,0,1
na visokom nivou po rangu ili značaju,0,1
"koji ohrabruje, odobrava ili zadovoljava",0,1
Biti veoma primetan.,0,1
Apolutno važno.,0,1
Neko nižeg ranga ili položaja ili kvaliteta.,1,0
koji može ponovo da se koristi,0,1
"koji se želi, traži",0,1
koji donosi dobar profit,0,1
Koji koristi intelekt ili je privlačan intelektu.,0,1
koji ispoljava pogodan ili povoljan uticaj,0,1
biti privlačan kome,0,1
onaj koji ima visoku vrednost ili cenu;,0,1
"Biti zdrav, osećati se dobro.",0,1
Umetnik nenadmašnih veština.,0,1
Kvalitet onog ko nije brižljiv.,1,0
Zaokupiti na prijatan ili zabavan način.,0,1
Koji izražava ili propoveda obožavanje božanstva.,0,1
blagonaklona procena,0,1
"učiniti da nešto postane sanitarno (bez bacila), npr.sterilizacijom",0,1
diviti se i čuditi nečemu,0,1
Kvalitet koji ne pruža zadovoljstvo čulima.,1,0
Oporavak ili način čuvanja od gubitka ili opasnosti.,0,1
Stanje kada je neko prosperitetan i uspešan.,0,1
koji ima urođenu sklonost prema dobroti,0,1
radnja koju karakteriše dobro raspoloženje,0,1
"U skolastici, jedna od četiri vrline koje dolaze od prirode.",0,1
izraziti zahvalnost ili pokazati poštovanje,1,0
"Onaj koji uživa ili pokazuje radost, zadovoljstvo ili srešu.",0,1
